level3,7,1,12.857142857142858,10.0,0.5875213827405658,0.4031691551208496
level3,17,4,16.470588235294116,66.75,1.5030202024123247,1.1319631934165955
level3,4,,33.25,0,3.3211610317230225,0
level3,1,,15.0,0,1.4055426120758057,0
level3,3,,17.666666666666668,0,1.743512233098348,0
level3,0,,0,0,0,0
level3,15,,18.6,0,1.8637927055358887,0
level3,0,,0,0,0,0
level3,1,,16.0,0,1.5152525901794434,0
level3,2,,11.0,0,1.0569511651992798,0
level3,0,,0,0,0,0
level3,2,,23.5,0,2.3197368383407593,0
level3,1,,19.0,0,1.8170020580291748,0
level3,0,,0,0,0,0
level3,1,,16.0,0,1.5082266330718994,0
level3,3,,12.333333333333334,0,1.2048213481903076,0
level3,0,,0,0,0,0
level3,0,,0,0,0,0
level3,0,,0,0,0,0
level3,1,,20.0,0,1.9380273818969727,0
level3,2,3,8.0,8.333333333333334,0.4995206594467163,0.47197524706522626
level3,13,13,22.46153846153846,20.846153846153847,1.4936211475959191,1.1760040796720064
